CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2015
VERSION          1.0
RELEASE_DATE     4/3/2016
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

150301  13  0.218
150301  14  0.379
150301  15  0.291
150301  16  0.153
150301  17  0.409
150301  18  0.721
150301  19  1.104
150301  20  1.363
150301  21  1.141
150301  22  0.449
150301  23  0.592
150301  24  0.581
150302  01  0.011
150302  02 -0.074
150302  03 -0.131
150302  04  0.003
150302  05  0.349
150302  06  0.975
150302  07  2.537
150302  08  3.923
150302  09  4.669
150302  10  2.937
150302  11  2.031
150302  12  1.769
150302  13  1.400
150302  14  1.556
150302  15  1.827
150302  16  1.488
150302  17  1.617
150302  18  1.528
150302  19  0.936
150302  20  0.292
150302  21  1.175
150302  22  1.247
150302  23  2.148
150302  24  1.891
150303  01  2.497
150303  02  1.827
150303  03  1.925
150303  04  1.891
150303  05  1.902
150303  06  2.028
150303  07  2.873
150303  08  4.203
150303  09  3.247
150303  10  2.513
150303  11  2.826
150303  12  3.888
150303  13  4.124
150303  14  4.132
150303  15  3.943
150303  16  2.927
150303  17  3.125
150303  18  3.760
150303  19  5.856
150303  20  7.888
150303  21  6.811
150303  22  3.294
